Posted Date,Letter Issue Date,Company Name,Warning Letter URL,Issuing Office,Subject
"<time datetime=""2026-01-27T05:00:00Z"">01/27/2026</time>
","<time datetime=""2025-12-22T05:00:00Z"">12/22/2025</time>
","Meridian Bioscience, Inc",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/meridian-bioscience-inc-720826-12222025,Center for Devices and Radiological Health,"CGMP/QSR/Medical Devices/Adulterated<br />
"
"<time datetime=""2026-01-27T05:00:00Z"">01/27/2026</time>
","<time datetime=""2026-01-14T05:00:00Z"">01/14/2026</time>
",Fulijaya Manufacturing SDN. BHD.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fulijaya-manufacturing-sdn-bhd-719172-01142026,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2026-01-27T05:00:00Z"">01/27/2026</time>
","<time datetime=""2025-12-17T05:00:00Z"">12/17/2025</time>
","MAST Biosurgery USA, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mast-biosurgery-usa-inc-720661-12172025,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated
"<time datetime=""2026-01-27T05:00:00Z"">01/27/2026</time>
","<time datetime=""2025-10-23T04:00:00Z"">10/23/2025</time>
",MG GROUP USA,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mg-group-usa-718152-10232025,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP)
"<time datetime=""2026-01-27T05:00:00Z"">01/27/2026</time>
","<time datetime=""2025-11-25T05:00:00Z"">11/25/2025</time>
","Asli Foods, Inc",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/asli-foods-inc-719578-11252025,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP)
"<time datetime=""2026-01-27T05:00:00Z"">01/27/2026</time>
","<time datetime=""2026-01-13T05:00:00Z"">01/13/2026</time>
","Center For Immunology Science, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/center-immunology-science-llc-719933-01132026,Center for Drug Evaluation and Research (CDER),Sponsor/Investigator
"<time datetime=""2026-01-27T05:00:00Z"">01/27/2026</time>
","<time datetime=""2026-01-16T05:00:00Z"">01/16/2026</time>
","Zip Foods Importers, Inc",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zip-foods-importers-inc-713379-01162026,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP)
"<time datetime=""2026-01-27T05:00:00Z"">01/27/2026</time>
","<time datetime=""2025-09-08T04:00:00Z"">09/08/2025</time>
",American Food Distributor Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/american-food-distributor-inc-715733-09082025,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP)
"<time datetime=""2026-01-20T05:00:00Z"">01/20/2026</time>
","<time datetime=""2025-12-15T05:00:00Z"">12/15/2025</time>
",Integrity Partners Group,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/integrity-partners-group-716953-12152025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2026-01-20T05:00:00Z"">01/20/2026</time>
","<time datetime=""2026-01-08T05:00:00Z"">01/08/2026</time>
","Prodrome Sciences USA, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/prodrome-sciences-usa-llc-717959-01082026,Center for Drug Evaluation and Research (CDER),Sponsor/Unapproved Misbranded
"<time datetime=""2026-01-20T05:00:00Z"">01/20/2026</time>
","<time datetime=""2026-01-09T05:00:00Z"">01/09/2026</time>
",Germaphobix,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/germaphobix-720555-01092026,Center for Biologics Evaluation and Research (CBER),Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA)
"<time datetime=""2026-01-20T05:00:00Z"">01/20/2026</time>
","<time datetime=""2026-01-08T05:00:00Z"">01/08/2026</time>
",Genetrace,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genetrace-720529-01082026,Center for Biologics Evaluation and Research (CBER),Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA)
"<time datetime=""2026-01-20T05:00:00Z"">01/20/2026</time>
","<time datetime=""2026-01-08T05:00:00Z"">01/08/2026</time>
",Genovate,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genovate-720554-01082026,Center for Biologics Evaluation and Research (CBER),Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA)
"<time datetime=""2026-01-20T05:00:00Z"">01/20/2026</time>
","<time datetime=""2026-01-08T05:00:00Z"">01/08/2026</time>
",ProDx Health,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/prodx-health-720762-01082026,Center for Biologics Evaluation and Research (CBER),Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA)
"<time datetime=""2026-01-13T05:00:00Z"">01/13/2026</time>
","<time datetime=""2025-12-22T05:00:00Z"">12/22/2025</time>
","Purushothaman Damodara Kumaran, M.D.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/purushothaman-damodara-kumaran-md-721325-12222025,Center for Drug Evaluation and Research (CDER),In Vivo Bioavailability-Bioequivalence Studies – Clinical
"<time datetime=""2026-01-13T05:00:00Z"">01/13/2026</time>
","<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","LXR Biotech, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lxr-biotech-llc-714568-12232025,Human Foods Program,CGMP/Dietary Supplement/Adulterated/Misbranded
"<time datetime=""2026-01-13T05:00:00Z"">01/13/2026</time>
","<time datetime=""2025-12-09T05:00:00Z"">12/09/2025</time>
","ASP Global, LLC. dba Anatomy Supply Partners, LLC.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/asp-global-llc-dba-anatomy-supply-partners-llc-718444-12092025,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated
"<time datetime=""2026-01-13T05:00:00Z"">01/13/2026</time>
","<time datetime=""2025-11-13T05:00:00Z"">11/13/2025</time>
",Pan-African Food Distributors Inc./East Africa Boutique LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pan-african-food-distributors-inceast-africa-boutique-llc-717171-11132025,Human Foods Program,CGMP/Dietary Supplement/Adulterated/Misbranded
"<time datetime=""2026-01-13T05:00:00Z"">01/13/2026</time>
","<time datetime=""2025-07-25T04:00:00Z"">07/25/2025</time>
","Middle East/Soli's Baking Company, Inc. dba Middle East Baking Co.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/middle-eastsolis-baking-company-inc-dba-middle-east-baking-co-708017-07252025,Human Foods Program,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated"
"<time datetime=""2026-01-13T05:00:00Z"">01/13/2026</time>
","<time datetime=""2026-01-07T05:00:00Z"">01/07/2026</time>
","Winder Laboratories, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/winder-laboratories-llc-718601-01072026,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2026-01-13T05:00:00Z"">01/13/2026</time>
","<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
",Chemspec Chemicals Private Limited,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/chemspec-chemicals-private-limited-718403-12232025,Center for Drug Evaluation and Research (CDER),CGMP/Active Pharmaceutical Ingredient (API)/Adulterated
"<time datetime=""2026-01-06T05:00:00Z"">01/06/2026</time>
","<time datetime=""2025-12-30T05:00:00Z"">12/30/2025</time>
",Absolutely Natural,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/absolutely-natural-715690-12302025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2026-01-06T05:00:00Z"">01/06/2026</time>
","<time datetime=""2025-12-19T05:00:00Z"">12/19/2025</time>
","LiquidCapsule Manufacturing, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/liquidcapsule-manufacturing-llc-717069-12192025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2026-01-06T05:00:00Z"">01/06/2026</time>
","<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
",Tower Laboratories Ltd.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tower-laboratories-ltd-717456-12232025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2026-01-06T05:00:00Z"">01/06/2026</time>
","<time datetime=""2025-12-30T05:00:00Z"">12/30/2025</time>
",bongsociety.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bongsocietycom-721343-12302025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2026-01-06T05:00:00Z"">01/06/2026</time>
","<time datetime=""2025-12-30T05:00:00Z"">12/30/2025</time>
",snuzyn.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/snuzyncom-721342-12302025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2025-12-30T05:00:00Z"">12/30/2025</time>
","<time datetime=""2025-12-19T05:00:00Z"">12/19/2025</time>
",Unipack LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/unipack-llc-716621-12192025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-12-30T05:00:00Z"">12/30/2025</time>
","<time datetime=""2025-12-11T05:00:00Z"">12/11/2025</time>
",Palamur Biosciences Private Limited,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/palamur-biosciences-private-limited-708579-12112025,Center for Devices and Radiological Health,Good Laboratory Practice (GLP) for Nonclinical Laboratory Studies
"<time datetime=""2025-12-30T05:00:00Z"">12/30/2025</time>
","<time datetime=""2025-12-18T05:00:00Z"">12/18/2025</time>
","Private Label Skin Care, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/private-label-skin-care-inc-715880-12182025,Center for Drug Evaluation and Research (CDER),CGMP/OTC/Adulterated/Misbranded
"<time datetime=""2025-12-30T05:00:00Z"">12/30/2025</time>
","<time datetime=""2025-12-19T05:00:00Z"">12/19/2025</time>
",Agebox Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/agebox-inc-718252-12192025,Center for Drug Evaluation and Research (CDER),Unapproved New Drug/Misbranded
"<time datetime=""2025-12-30T05:00:00Z"">12/30/2025</time>
","<time datetime=""2025-12-11T05:00:00Z"">12/11/2025</time>
","Devalingam Mahalingam, M.D., Ph.D.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/devalingam-mahalingam-md-phd-721145-12112025,Center for Drug Evaluation and Research (CDER),Clinical Investigator
"<time datetime=""2025-12-30T05:00:00Z"">12/30/2025</time>
","<time datetime=""2025-11-20T05:00:00Z"">11/20/2025</time>
",smokespotvape.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/smokespotvapecom-719890-11202025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-09T05:00:00Z"">12/09/2025</time>
",SV Labs Corporation,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sv-labs-corporation-716503-12092025,Center for Veterinary Medicine,CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","Guangdong Renhe Guozhuang Biotechnology Co., Ltd.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/guangdong-renhe-guozhuang-biotechnology-co-ltd-719045-12162025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-10T05:00:00Z"">12/10/2025</time>
","Medinatura New Mexico, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/medinatura-new-mexico-inc-716025-12102025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-04T05:00:00Z"">12/04/2025</time>
",King Farm,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/king-farm-713276-12042025,Center for Veterinary Medicine,"CGMP/Animal Food/Adulterated<br />
"
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
",Dynamic Health Group dba SARMS AMERICA,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dynamic-health-group-dba-sarms-america-719257-12122025,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-09-22T04:00:00Z"">09/22/2025</time>
",Revive Rx LLC dba Revive Rx Pharmacy,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/revive-rx-llc-dba-revive-rx-pharmacy-709509-09222025,Center for Drug Evaluation and Research (CDER),Compounding Pharmacy/Adulterated Drug Products
